gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ftype,gene_name,product_name,product_short,plot_label,COG,EC_number,expression_change
E745S_02149,961.021330241709,2.56429075430188,0.119961727283499,21.3759072361623,2.2392854567279e-101,1.34959833634263e-100,gene,,,,E745S_02149,,,Up in Serum
E745S_00391,3500.82343452818,1.27272558878524,0.0597179436213897,21.312280892562,8.73354643827369e-101,5.22040116669706e-100,gene,malL_1,,,malL_1,,,Up in Serum
E745S_00721,460.961661087924,2.55126039372264,0.119856182477151,21.2860141295507,1.53000949781683e-100,9.12675747570654e-100,gene,,,,E745S_00721,,,Up in Serum
E745S_02166,318.882227033307,2.89739830965409,0.13653530248544,21.2208729677298,6.12757758378028e-100,3.63286728032269e-99,gene,,,,E745S_02166,,,Up in Serum
E745S_00934,239.129482733088,4.59760467890236,0.216912470545133,21.1956678532493,1.04702678989532e-99,6.19490850688065e-99,gene,,,,E745S_00934,,,Up in Serum
E745S_00252,4411.79238155256,1.35575386549608,0.0640877994823668,21.1546328075925,2.50129129849804e-99,1.4769287971456e-98,gene,,,,E745S_00252,,,Up in Serum
E745S_01518,307.76522160533,3.0177955539327,0.142849699645276,21.1256695773704,4.62029325454264e-99,2.72260600485296e-98,gene,,,,E745S_01518,,,Up in Serum
E745S_01550,2619.9489932294,1.3465176635224,0.0637901446881914,21.108553211538,6.63735361272893e-99,3.9033002760917e-98,gene,,,,E745S_01550,,,Up in Serum
E745S_00251,5568.52988791376,1.18233226358869,0.0563836884688328,20.9694026002262,1.24821458414621e-97,7.28166864619161e-97,gene,dnaI_2,,,dnaI_2,,,Up in Serum
E745S_01085,1159.91842619605,1.9604411024369,0.0939196029772862,20.8736093455486,9.3036925244216e-97,5.40579819133558e-96,gene,,,,E745S_01085,,,Up in Serum
E745S_01861,2524.74228107821,1.45927481281287,0.0701138351757773,20.8129366929427,3.30468311629547e-96,1.90871677609843e-95,gene,algC,,,algC,,,Up in Serum
E745S_01060,8374.91301971527,1.34185667362455,0.0649187488636795,20.6697864193634,6.48023688531481e-95,3.72805722789554e-94,gene,mecA,,,mecA,,,Up in Serum
E745S_02462,4792.84531346568,1.15167346018052,0.0557820088313955,20.6459660436669,1.0611976126153e-94,6.09299063180107e-94,gene,yhaP,,,yhaP,,,Up in Serum
E745S_01530,4496.97135002851,1.55956705683668,0.0755675170250626,20.638061408309,1.24975414452004e-94,7.16148487145246e-94,gene,oppD_1,,,oppD_1,,,Up in Serum
E745S_01015,284.430124759286,3.00910131435742,0.145805644508291,20.6377559970684,1.25767480937856e-94,7.19271389017876e-94,gene,,,,E745S_01015,,,Up in Serum
E745S_02312,431.074414401222,2.28204893566331,0.11059783139988,20.6337584270733,1.36608684028398e-94,7.79740939620913e-94,gene,mgsA,,,mgsA,,,Up in Serum
E745S_01103,11817.2691548743,1.17528699072265,0.0569812377930346,20.6258592519786,1.60848047088939e-94,9.16298757487085e-94,gene,prsA_2,,,prsA_2,,,Up in Serum
E745S_00591,55555.9295016996,8.92272423838701,0.432678937749854,20.6220443379787,1.74046556596625e-94,9.87620908874808e-94,gene,purL,,,purL,,,Up in Serum
E745S_02188,246.419210369178,3.36619525492447,0.164278520485252,20.4907814179314,2.60183763640296e-93,1.47066977855709e-92,gene,,,,E745S_02188,,,Up in Serum
E745S_02101,8282.33042642079,1.26833899799591,0.0619785755701439,20.4641521094734,4.49431402574223e-93,2.52566566195669e-92,gene,manX_2,,,manX_2,,,Up in Serum
E745S_02377,416.762053528808,2.47826570450342,0.121173988146817,20.4521262558487,5.75129292812653e-93,3.22582152481239e-92,gene,rex_1,,,rex_1,,,Up in Serum
E745S_01037,2888.61073835375,1.40221911966826,0.0685791132151749,20.4467374092259,6.42300330835959e-93,3.59564665973746e-92,gene,,,,E745S_01037,,,Up in Serum
E745S_00967,217.090526826734,3.92728608485187,0.192428035203305,20.4091159622484,1.38771960265017e-92,7.75365021749453e-92,gene,,,,E745S_00967,,,Up in Serum
E745S_01673,5391.66387245226,1.22134180399953,0.0600250364552875,20.3472063679512,4.91498694100498e-92,2.73566481553833e-91,gene,pepA,,,pepA,,,Up in Serum
E745S_02810,711.167127513603,1.81242803264039,0.0892765283854485,20.3012826038137,1.25272172007149e-91,6.9328382645021e-91,gene,hisK,,,hisK,,,Up in Serum
E745S_00248,1709.94428601011,1.38133064734925,0.0680485070296162,20.2992057819588,1.30679864753342e-91,7.21838873428804e-91,gene,nrdR,,,nrdR,,,Up in Serum
E745S_00613,3412.74005520133,1.29510687020506,0.0638603993992594,20.2802814011226,1.92029617160566e-91,1.05670740180417e-90,gene,yqiK,,,yqiK,,,Up in Serum
E745S_00917,6357.44432965376,1.13411952337129,0.0562201655546838,20.172824327032,1.69667007857783e-90,9.28384699011291e-90,gene,pepS,,,pepS,,,Up in Serum
E745S_01801,12571.5563269779,1.05290420559063,0.052255768517435,20.1490521613767,2.74315880505133e-90,1.49818673198957e-89,gene,,,,E745S_01801,,,Up in Serum
E745S_01574,2117.77577692626,1.30997945289857,0.0650792873195066,20.1289766199687,4.11403259623573e-90,2.2426870576109e-89,gene,msrB,,,msrB,,,Up in Serum
E745S_01442,2232.36743524219,1.41752158146137,0.070462130790723,20.1174952496327,5.18626511819737e-90,2.82190986150889e-89,gene,pox5,,,pox5,,,Up in Serum
E745S_02818,450.360473383941,2.59180357744653,0.129850330547824,19.9599305331916,1.22882952055969e-88,6.66130863007313e-88,gene,,,,E745S_02818,,,Up in Serum
E745S_00540,3067.64914658402,1.56448000224507,0.0784792045085665,19.9349625425204,2.02456576589214e-88,1.09341575964973e-87,gene,,,,E745S_00540,,,Up in Serum
E745S_00633,768.915734287157,1.83663294348763,0.0922857991806416,19.9015770551283,3.94324569823807e-88,2.12177231563235e-87,gene,ycfH,,,ycfH,,,Up in Serum
E745S_01907,408.149880097327,2.22916036115733,0.112074882908725,19.8899191621086,4.97551903409897e-88,2.67227599783434e-87,gene,sbnD_2,,,sbnD_2,,,Up in Serum
E745S_01646,950.744335259874,1.74326028565796,0.0877433139948298,19.8677278790801,7.74290577930996e-88,4.15093899144959e-87,gene,kdgA,,,kdgA,,,Up in Serum
E745S_02883,5098.05771733585,1.18320252241989,0.0601356387279677,19.6755625690164,3.49279194378779e-86,1.85877830865928e-85,gene,,,,E745S_02883,,,Up in Serum
E745S_02302,3513.87592168193,1.201567778802,0.0616007772746964,19.5057243100009,9.81568769334813e-85,5.17635269480732e-84,gene,,,,E745S_02302,,,Up in Serum
E745S_00916,674.979689404218,1.75661859878366,0.090452576772882,19.4203267773605,5.1958279089168e-84,2.73015433986585e-83,gene,,,,E745S_00916,,,Up in Serum
E745S_00749,484.709352651597,2.21486157145008,0.114278844684087,19.3812037352394,1.11214862080138e-83,5.82277812077846e-83,gene,,,,E745S_00749,,,Up in Serum
E745S_00109,1163.6343968521,1.4925054994121,0.0771099151527637,19.3555588338448,1.82999120417111e-83,9.56392171515638e-83,gene,,,,E745S_00109,,,Up in Serum
